program,n,procs,time_seconds
comp_pi,100,1,2.01e-05
comp_pi,100,2,9.9e-06
comp_pi,100,4,0.0060965
comp_pi,100,8,0.0002386
comp_pi,1000,1,8.3e-06
comp_pi,1000,2,8e-06
comp_pi,1000,4,8.28e-05
comp_pi,1000,8,0.0002678
comp_pi,10000,1,2.06e-05
comp_pi,10000,2,1.26e-05
comp_pi,10000,4,8.56e-05
comp_pi,10000,8,0.0002313
comp_pi,100000,1,0.000102
comp_pi,100000,2,5.52e-05
comp_pi,100000,4,0.0001248
comp_pi,100000,8,0.0001949
comp_pi,1000000,1,0.0009337
comp_pi,1000000,2,0.0004729
comp_pi,1000000,4,0.0003475
comp_pi,1000000,8,0.0004813
comp_pi,10000000,1,0.0093945
comp_pi,10000000,2,0.004639
comp_pi,10000000,4,0.004714
comp_pi,10000000,8,0.0026533
comp_pi,100000000,1,0.0921056
comp_pi,100000000,2,0.0480765
comp_pi,100000000,4,0.0433632
comp_pi,100000000,8,0.0245415
comp_pi,1000000000,1,0.923468
comp_pi,1000000000,2,0.475725
comp_pi,1000000000,4,0.334414
comp_pi,1000000000,8,0.244949
