program,n,procs,time_seconds
count_primes,100,1,0.000011
count_primes,100,2,0.000338
count_primes,100,4,0.000669
count_primes,100,8,0.000880
count_primes,1000,1,0.000018
count_primes,1000,2,0.000294
count_primes,1000,4,0.000514
count_primes,1000,8,0.000888
count_primes,10000,1,0.000117
count_primes,10000,2,0.000321
count_primes,10000,4,0.000557
count_primes,10000,8,0.000895
count_primes,100000,1,0.002108
count_primes,100000,2,0.002207
count_primes,100000,4,0.001427
count_primes,100000,8,0.001415
count_primes,1000000,1,0.048270
count_primes,1000000,2,0.047102
count_primes,1000000,4,0.024503
count_primes,1000000,8,0.016213
count_primes,10000000,1,1.190101
count_primes,10000000,2,1.166540
count_primes,10000000,4,0.676874
count_primes,10000000,8,0.403796
