algorithm,n,procs,repeat,time_seconds,reconstruction_error,residual
lu_hilbert_no_pivot,10,1,1,1.0399999155197293e-05,3.3203603995284312e-17,6.2366759601781075e-17
lu_hilbert_no_pivot,10,1,2,1.0999974620062858e-06,3.3203603995284312e-17,6.2366759601781075e-17
lu_hilbert_no_pivot,10,1,3,7.9999881563708186e-07,3.3203603995284312e-17,6.2366759601781075e-17
lu_hilbert_no_pivot,10,1,4,7.9999881563708186e-07,3.3203603995284312e-17,6.2366759601781075e-17
lu_hilbert_no_pivot,10,1,5,7.9999881563708186e-07,3.3203603995284312e-17,6.2366759601781075e-17
lu_hilbert_no_pivot,10,2,1,6.7699998908210546e-05,3.3203603995284306e-17,6.2366759601781075e-17
lu_hilbert_no_pivot,10,2,2,2.6900001103058457e-05,3.3203603995284306e-17,6.2366759601781075e-17
lu_hilbert_no_pivot,10,2,3,8.1999969552271068e-06,3.3203603995284306e-17,6.2366759601781075e-17
lu_hilbert_no_pivot,10,2,4,7.3999981395900249e-06,3.3203603995284306e-17,6.2366759601781075e-17
lu_hilbert_no_pivot,10,2,5,3.1000017770566046e-06,3.3203603995284306e-17,6.2366759601781075e-17
lu_hilbert_no_pivot,10,4,1,0.0015535999991698191,3.3203603995284306e-17,6.2366759601781087e-17
lu_hilbert_no_pivot,10,4,2,1.3000000762986019e-05,3.3203603995284306e-17,6.2366759601781087e-17
lu_hilbert_no_pivot,10,4,3,4.8000001697801054e-06,3.3203603995284306e-17,6.2366759601781087e-17
lu_hilbert_no_pivot,10,4,4,4.3000000005122274e-06,3.3203603995284306e-17,6.2366759601781087e-17
lu_hilbert_no_pivot,10,4,5,4.3000000005122274e-06,3.3203603995284306e-17,6.2366759601781087e-17
lu_hilbert_no_pivot,10,8,1,0.00023670000155107118,3.32036039952843e-17,6.2366759601781075e-17
lu_hilbert_no_pivot,10,8,2,0.0011565999993763398,3.32036039952843e-17,6.2366759601781075e-17
lu_hilbert_no_pivot,10,8,3,0.0064227000002574641,3.32036039952843e-17,6.2366759601781075e-17
lu_hilbert_no_pivot,10,8,4,0.0074179000002914108,3.32036039952843e-17,6.2366759601781075e-17
lu_hilbert_no_pivot,10,8,5,0.0057159999996656552,3.32036039952843e-17,6.2366759601781075e-17
lu_hilbert_no_pivot,50,1,1,2.010000025620684e-05,8.5811192237652439e-17,2.0540793057165817e-15
lu_hilbert_no_pivot,50,1,2,1.5300000086426735e-05,8.5811192237652439e-17,2.0540793057165817e-15
lu_hilbert_no_pivot,50,1,3,1.4900000678608194e-05,8.5811192237652439e-17,2.0540793057165817e-15
lu_hilbert_no_pivot,50,1,4,1.5500001609325409e-05,8.5811192237652439e-17,2.0540793057165817e-15
lu_hilbert_no_pivot,50,1,5,1.3900000340072438e-05,8.5811192237652439e-17,2.0540793057165817e-15
lu_hilbert_no_pivot,50,2,1,9.59999997576233e-05,8.5811192237652574e-17,2.0540793057165817e-15
lu_hilbert_no_pivot,50,2,2,5.2499999583233148e-05,8.5811192237652574e-17,2.0540793057165817e-15
lu_hilbert_no_pivot,50,2,3,4.0499999158782884e-05,8.5811192237652574e-17,2.0540793057165817e-15
lu_hilbert_no_pivot,50,2,4,2.0999999833293259e-05,8.5811192237652574e-17,2.0540793057165817e-15
lu_hilbert_no_pivot,50,2,5,2.0700001186924055e-05,8.5811192237652574e-17,2.0540793057165817e-15
