algorithm,n,procs,time_seconds,reconstruction_error,residual,repeats,speedup,efficiency
lu_hilbert_column_pivot,10,1,3.70000270777382e-06,4.075868257955424e-17,5.774039959701168e-17,5,1.0,1.0
lu_hilbert_column_pivot,10,2,1.6000001778593287e-05,4.075868257955423e-17,5.774039959701168e-17,5,0.2312501435296167,0.11562507176480835
lu_hilbert_column_pivot,10,4,2.5699999241624027e-05,4.075868257955423e-17,5.774039959701169e-17,5,0.14396898120453058,0.035992245301132646
lu_hilbert_column_pivot,10,8,6.130000110715628e-05,4.0758682579554224e-17,5.774039959701168e-17,5,0.060358933783801756,0.0075448667229752195
lu_hilbert_column_pivot,50,1,4.3899999582208686e-05,9.34317058466448e-17,5.177277264821961e-16,5,1.0,1.0
lu_hilbert_column_pivot,50,2,7.019999975454994e-05,9.343170584664496e-17,5.177277264821961e-16,5,0.6253561215912021,0.31267806079560106
lu_hilbert_column_pivot,50,4,0.0001952999991772,9.34317058466449e-17,5.177277264821963e-16,5,0.22478238488048966,0.056195596220122414
lu_hilbert_column_pivot,50,8,0.0003813000002992,9.343170584664488e-17,5.177277264821961e-16,5,0.11513244046095217,0.014391555057619021
lu_hilbert_column_pivot,100,1,0.0001240000019606,1.2426690513023478e-16,2.3847816508855547e-14,5,1.0,1.0
lu_hilbert_column_pivot,100,2,0.0001892000000225,1.242669051302363e-16,2.3847816508855547e-14,5,0.6553911307920386,0.3276955653960193
lu_hilbert_column_pivot,100,4,0.0004329000003053,1.2426690513023602e-16,2.3847816508855556e-14,5,0.2864402907672668,0.0716100726918167
lu_hilbert_column_pivot,100,8,0.0007235999983095,1.2426690513023594e-16,2.3847816508855556e-14,5,0.1713653983558502,0.021420674794481277
lu_hilbert_column_pivot,500,1,0.0114893999998457,2.4925745698742328e-16,2.2402005496218163e-14,5,1.0,1.0
lu_hilbert_column_pivot,500,2,0.0098197000006621,2.49257456987444e-16,2.2402005496218163e-14,5,1.1700357443782416,0.5850178721891208
lu_hilbert_column_pivot,500,4,0.0074218000008841,2.4925745698744413e-16,2.2402005496218144e-14,5,1.5480611170439864,0.3870152792609966
lu_hilbert_column_pivot,500,8,0.0075918000002275,2.4925745698745567e-16,2.2402005496218153e-14,5,1.513396032495772,0.1891745040619715
lu_hilbert_column_pivot,1000,1,0.1006842999995569,3.341689746655906e-16,1.1919561976406935e-14,5,1.0,1.0
lu_hilbert_column_pivot,1000,2,0.0605113000019628,3.3416897466563184e-16,1.1919561976406972e-14,5,1.66389252910268,0.83194626455134
lu_hilbert_column_pivot,1000,4,0.0537862999990466,3.3416897466567533e-16,1.1919561976406954e-14,5,1.8719320719466035,0.4679830179866509
